,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,host_since_years,Success_rate,mean_price,host_in_sfo,licensed,top_amenities_count,host_verification_count
0,0,100,98,t,1.0,t,t,Group1,Entire serviced apartment,Entire home/apt,3,bath group1,1.0,2.0,2,30,2.0,2.0,1125.0,1125.0,2.0,1125.0,315,42,0,4.87,4.95,4.95,4.9,4.98,f,1,1,0,0,2.08,13.4,0.713030303030303,172.2,1.0,0.0,3,5
1,2,100,71,f,2.0,t,t,Group1,Entire rental unit,Entire home/apt,5,bath group1,2.0,3.0,30,60,30.0,30.0,60.0,60.0,30.0,60.0,111,0,0,4.88,4.87,4.89,4.85,4.77,f,1,1,0,0,0.72,12.9,0.0,235.0,0.0,0.0,2,5
2,0,100,100,f,10.0,t,t,Group1,Private room in rental unit,Private room,2,bath group3,1.0,1.0,32,60,32.0,32.0,60.0,60.0,32.0,60.0,19,0,0,4.2,3.87,4.67,4.6,4.73,f,9,0,9,0,0.13,12.6,0.0,62.1,1.0,0.0,1,5
3,0,100,100,f,10.0,t,t,Group1,Private room in rental unit,Private room,2,bath group3,1.0,1.0,32,90,32.0,32.0,90.0,90.0,32.0,90.0,8,0,0,4.63,4.38,4.75,4.75,4.63,f,9,0,9,0,0.09,12.6,0.0,62.1,1.0,0.0,1,5
4,1,94,0,f,2.0,t,t,Group1,Entire condominium (condo),Entire home/apt,4,bath group1,2.0,2.0,7,111,7.0,7.0,111.0,111.0,7.0,111.0,28,0,0,4.87,5.0,4.94,5.0,4.94,f,2,2,0,0,0.19,12.5,0.0,895.0,1.0,1.0,2,4
5,0,94,20,t,2.0,t,t,Group1,Private room in condominium (condo),Private room,3,bath group2,1.0,1.0,13,14,13.0,13.0,14.0,14.0,13.0,14.0,736,1,0,4.91,4.94,4.95,4.96,4.93,f,2,0,2,0,4.86,13.0,0.21909090909090911,190.7,1.0,1.0,3,9
6,2,50,100,f,1.0,t,t,Group1,Entire residential home,Entire home/apt,4,bath group1,2.0,3.0,30,60,30.0,30.0,60.0,60.0,30.0,60.0,341,4,0,4.79,4.93,4.82,4.77,4.56,f,1,1,0,0,2.27,12.4,0.07499999999999996,150.0,1.0,1.0,3,5
7,1,100,0,f,0.0,t,t,Group2,Entire rental unit,Entire home/apt,2,bath group1,1.0,1.0,30,180,30.0,30.0,180.0,180.0,30.0,180.0,18,0,0,4.93,4.94,4.81,4.94,4.82,f,1,1,0,0,0.15,12.3,0.7890909090909091,120.0,1.0,0.0,3,5
8,1,100,71,f,27.0,t,t,Group1,Entire rental unit,Entire home/apt,3,bath group1,3.0,3.0,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,38,1,0,4.41,4.44,4.84,4.72,4.61,f,27,27,0,0,0.26,12.3,0.0,170.0,1.0,0.0,2,6
9,1,100,71,f,27.0,t,t,Group1,Entire rental unit,Entire home/apt,5,bath group1,3.0,3.0,30,365,30.0,30.0,365.0,365.0,30.0,365.0,15,0,0,4.57,5.0,5.0,4.75,4.83,f,27,27,0,0,0.13,12.3,0.9945454545454545,166.0,1.0,0.0,3,6
10,1,100,71,f,27.0,t,t,Group1,Entire rental unit,Entire home/apt,2,bath group1,1.0,1.0,30,365,30.0,30.0,365.0,365.0,30.0,365.0,20,0,0,4.6,4.65,4.85,4.85,4.8,f,27,27,0,0,0.18,12.3,0.21666666666666667,116.0,1.0,0.0,3,6
11,0,100,100,f,10.0,t,t,Group1,Private room in rental unit,Private room,2,bath group3,1.0,2.0,32,60,32.0,32.0,60.0,60.0,32.0,60.0,6,0,0,4.0,4.0,4.5,5.0,4.67,f,9,0,9,0,0.05,12.6,0.0,65.0,1.0,0.0,1,5
12,0,100,100,f,10.0,t,t,Group1,Private room in rental unit,Private room,2,bath group3,1.0,2.0,32,90,32.0,32.0,90.0,90.0,32.0,90.0,5,0,0,3.2,3.0,4.8,4.4,4.6,f,9,0,9,0,0.05,12.6,0.0,71.8,1.0,0.0,1,5
13,0,94,84,f,1.0,t,t,Group1,Private room in rental unit,Private room,1,bath group4,1.0,1.0,3,27,3.0,3.0,27.0,27.0,3.0,27.0,427,0,0,4.92,4.9,4.95,4.96,4.94,t,1,0,1,0,2.93,12.6,0.9583333333333334,79.0,1.0,1.0,2,9
14,0,100,82,t,1.0,t,f,Group1,Entire rental unit,Entire home/apt,3,bath group1,1.0,2.0,30,365,30.0,30.0,365.0,365.0,30.0,365.0,66,3,1,4.83,4.83,4.95,4.9,4.88,f,1,1,0,0,0.47,12.0,0.7916666666666666,87.0,1.0,0.0,3,4
15,2,56,22,f,2.0,t,t,Group1,Private room in residential home,Private room,2,bath group2,1.0,1.0,3,31,3.0,3.0,31.0,31.0,3.0,31.0,414,0,0,4.87,4.94,4.9,4.91,4.89,f,1,0,1,0,3.37,12.0,0.4083333333333333,110.0,1.0,1.0,2,7
16,0,100,100,f,1.0,t,t,Group2,Entire loft,Entire home/apt,2,bath group1,1.0,1.0,30,30,30.0,30.0,30.0,30.0,30.0,30.0,122,3,0,4.87,4.63,4.99,4.97,4.87,t,1,1,0,0,0.86,11.9,0.125,130.0,1.0,0.0,4,5
17,2,100,0,t,1.0,t,t,Group1,Entire residential home,Entire home/apt,2,bath group1,1.0,1.0,3,14,3.0,3.0,14.0,14.0,3.0,14.0,412,0,0,4.88,4.96,4.92,4.95,4.92,f,1,1,0,0,2.93,11.8,0.8281818181818181,155.0,1.0,1.0,3,7
18,1,100,88,t,2.0,t,t,Group1,Private room in rental unit,Private room,2,bath group2,1.0,1.0,2,28,2.0,2.0,1125.0,1125.0,2.0,1125.0,314,5,0,4.89,4.87,4.97,4.97,4.83,f,2,1,1,0,2.22,11.8,0.22742424242424242,162.7,1.0,1.0,3,5
19,0,100,100,t,3.0,t,t,Group1,Entire guest suite,Entire home/apt,4,bath group1,1.0,1.0,4,31,4.0,4.0,1125.0,1125.0,4.0,1125.0,361,29,2,4.82,4.91,4.91,4.93,4.9,t,2,2,0,0,2.52,11.8,0.8,189.9,1.0,0.0,3,5
20,1,100,94,t,1.0,t,t,Group1,Private room in residential home,Private room,2,bath group2,1.0,1.0,5,45,5.0,5.0,45.0,45.0,5.0,45.0,50,8,0,4.96,5.0,4.98,5.0,4.98,f,1,0,1,0,0.74,11.8,0.016666666666666607,165.0,1.0,1.0,4,6
21,0,94,84,t,1.0,t,f,Group1,Entire rental unit,Entire home/apt,2,bath group1,1.0,1.0,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,133,0,0,4.98,4.99,4.96,4.98,4.92,f,1,1,0,0,0.94,11.7,0.8572727272727273,119.4,1.0,1.0,4,5
22,0,94,20,t,2.0,t,t,Group1,Private room in condominium (condo),Private room,4,bath group2,1.0,2.0,1,29,1.0,1.0,29.0,29.0,1.0,29.0,26,0,0,4.77,4.88,4.81,4.92,4.88,f,2,0,2,0,0.33,13.0,1.0,252.0,1.0,1.0,3,9
23,0,100,91,t,3.0,t,t,Group1,Entire residential home,Entire home/apt,4,bath group1,2.0,2.0,4,70,4.0,4.0,70.0,70.0,4.0,70.0,17,0,0,4.88,4.94,5.0,5.0,4.59,f,2,1,1,0,0.13,11.7,1.0,164.0,1.0,1.0,2,4
24,0,100,89,t,1.0,t,t,Group1,Entire rental unit,Entire home/apt,4,bath group1,1.0,2.0,2,30,2.0,2.0,30.0,30.0,2.0,30.0,88,19,1,4.97,4.92,4.99,4.99,4.89,f,1,1,0,0,0.63,11.7,0.1642424242424242,177.3,1.0,1.0,3,4
25,0,94,84,f,1.0,t,f,Group1,Entire rental unit,Entire home/apt,2,bath group1,1.0,2.0,30,30,30.0,30.0,30.0,30.0,30.0,30.0,94,0,0,4.81,4.96,4.96,4.94,4.48,f,1,1,0,0,0.67,11.6,0.8563636363636363,150.0,1.0,0.0,3,2
26,0,100,93,t,2.0,t,f,Group1,Entire residential home,Entire home/apt,2,bath group1,1.0,1.0,1,14,1.0,1.0,14.0,14.0,1.0,14.0,641,43,2,4.95,4.93,4.99,4.99,4.87,f,2,2,0,0,4.66,11.6,0.07499999999999996,270.0,1.0,1.0,6,6
27,1,100,70,f,28.0,t,t,Group1,Entire guest suite,Entire home/apt,2,bath group1,1.0,1.0,30,1125,30.0,30.0,1125.0,1125.0,30.0,1125.0,22,1,0,4.7,4.75,4.85,4.95,4.95,f,17,17,0,0,0.17,11.6,0.0,107.0,1.0,0.0,3,6
28,2,94,0,f,2.0,t,t,Group1,Entire rental unit,Entire home/apt,2,bath group1,1.0,1.0,30,30,30.0,30.0,30.0,30.0,30.0,30.0,22,0,0,4.9,4.82,4.82,4.91,4.86,f,2,2,0,0,0.17,11.5,0.8733333333333333,83.0,1.0,0.0,3,6
